Module,Lesson,Step number,Step title,Step type,Template Type,What is the rationale for this step,Content Outline
Lesson 3 - Expanding Your Graphic Design Toolkit,3,1,Foundations of Advanced Visual Language Systems; with images,Article,Article,"This step establishes the fundamental principles of advanced visual language systems, bridging the gap between basic style guides and complex visual systems.","Provide a comprehensive introduction to modular scaling techniques, including visual examples to demonstrate how these principles are applied in real-world scenarios. (Use established scaling methods such as the Golden Ratio or Fibonacci sequences to illustrate industry-standard approaches.)

Develop a detailed walkthrough of spatial tension principles, including practical real-world examples to clearly demonstrate the impact of these principles in design. (Reference well-known design theories like Gestalt principles to establish credibility.)

Present a visual explanation of layered symbolism within brand narratives, providing examples from existing brands to show how symbolism enhances storytelling and brand identity. (Include references to brands with effective use of symbolism, such as Nike or Apple.)

Offer a detailed explanation of modular scaling principles, focusing on how these principles guide layout consistency and adaptability across different media. (Highlight recognized methods such as the baseline grid system.)

Introduce spatial tension theory by explaining its importance in creating visually compelling compositions, supported by real-world design examples that use this principle effectively. (Incorporate relevant industry-standard frameworks to clarify spatial tension theory.)

Show how layered symbolism is implemented in brand systems, providing visual case studies to reinforce understanding. (Utilize examples of brand systems that demonstrate successful integration of layered symbolism, ensuring content is tangible and instructional.)"
Lesson 3 - Expanding Your Graphic Design Toolkit,3,2,Foundations of Advanced Visual Language Systems,Downloadable resource,downloadable,"This step establishes the fundamental principles of advanced visual language systems, bridging the gap between basic style guides and complex visual systems.","Provide a downloadable workbook that includes tangible resources to support content creators in applying advanced visual language systems:

Modular scaling grid templates in AI/PSD formats, allowing designers to work directly with industry-standard scaling systems (e.g., Golden Ratio, Fibonacci sequences)

A spatial tension analysis worksheet featuring example layouts to demonstrate how spatial tension can enhance visual hierarchy (using references to Gestalt principles)

Visual language documentation templates for brand system specifications, ensuring consistency and clarity across all visual elements in brand communication"
Lesson 3 - Expanding Your Graphic Design Toolkit,3,3,Decoding Global Brand Systems,Video,Video,Bridges the gap between creating individual brand elements and understanding complete brand systems by introducing systematic analysis methods.,"A video that explains the transition from creating individual brand elements to understanding integrated brand systems, including systematic analysis methods. The video should demonstrate the application of these concepts using real-world examples to bridge theory and practice (e.g., globalisation, audience reception, USP). "
Lesson 3 - Expanding Your Graphic Design Toolkit,3,4,Decoding Global Brand Systems,Article,Article,Bridges the gap between creating individual brand elements and understanding complete brand systems by introducing systematic analysis methods.,"An article that complements the video from Step 1 by providing a detailed written analysis of visual system components. This analysis should focus on established examples of Nike, Apple, and Google, highlighting system architecture, component relationships, and implementation strategies (e.g., visual asset design, page/package design principles, professional communication standards)."
Lesson 3 - Expanding Your Graphic Design Toolkit,3,5,Visual Hierarchy Across Platforms,Article,Article,Expands students' ability to adapt visual hierarchies from single-platform to multi-platform contexts while maintaining brand integrity.,"An article that explains the concepts of visual hierarchy principles across digital, print, and environmental platforms. Include a 'Future Applications' section that previews how these hierarchy principles will be adapted for emerging technologies (covered in detail later in this lesson), specifically highlighting:
- How traditional visual hierarchy translates to AR/VR environments
- Connection between current responsive design principles and future adaptive interfaces
- Foundation concepts that remain consistent across all platforms"
Lesson 3 - Expanding Your Graphic Design Toolkit,3,6,Visual Hierarchy Across Platforms,Infographic,Infographic,Expands students' ability to adapt visual hierarchies from single-platform to multi-platform contexts while maintaining brand integrity.,"An infographic that provides a visual reference for adaptation techniques across different platforms. This should include comparison matrices of hierarchy methods and highlight platform-specific considerations and solutions (e.g., user-based design, UI/UX consistency)."
Lesson 3 - Expanding Your Graphic Design Toolkit,3,7,Visual Hierarchy Across Platforms,Downloadable resource,downloadable,Expands students' ability to adapt visual hierarchies from single-platform to multi-platform contexts while maintaining brand integrity.,"Downloadable resources that include a Responsive Hierarchy Guide with a 'Future-Proofing' section:
- Add a 'Technology Evolution Worksheet' that prompts students to consider how each hierarchy principle might adapt to emerging technologies
- Include comparison tables showing current vs. emerging technology applications
- Add reflection questions that bridge current and future applications"
Lesson 3 - Expanding Your Graphic Design Toolkit,3,8,Building Effective Visual Stories,Video,Video,"Establishes foundation for creating cohesive brand narratives across platforms, essential for modern art direction.",Introduce a narrative strategy for adapting visuals across three platforms. Use Nike's brand narrative as a real-world case study to illustrate established adaptation techniques and emphasize the importance of maintaining brand consistency across multiple channels.
Lesson 3 - Expanding Your Graphic Design Toolkit,3,9,Building Effective Visual Stories,Article,Article,"Establishes foundation for creating cohesive brand narratives across platforms, essential for modern art direction."," Article Critique of successful vs. failed brand narratives, measurable criteria for narrative consistency. Uses the 10-point framework for narrative development and provides action steps for maintaining brand voice across platforms, along with a troubleshooting guide for common narrative inconsistencies."
Lesson 3 - Expanding Your Graphic Design Toolkit,3,10,Building Effective Visual Stories,Quiz,Quiz,"Establishes foundation for creating cohesive brand narratives across platforms, essential for modern art direction.","downloadable and fillable narrative strategy worksheet with a scoring rubric, platform-specific brand guidelines template, KPI tracking sheet for narrative consistency, cross-platform adaptation checklist with metrics, and brand voice consistency assessment tool. Include action steps for maintaining brand voice across platforms and a troubleshooting guide for addressing common narrative inconsistencies."
