"Module","Lesson","Step number","Step title","Step type","what_is_the_rationale_for_this_step?","Content Outline","question","answer","category","difficulty","What is the rationale for this step?"
"1","1","1","Understanding Physical Fitness","Content","Understanding physical fitness provides students with foundational knowledge about the components of fitness and their importance for overall health. This step helps students recognize how physical activity contributes to their wellbeing and establishes a framework for the entire course.","- Define physical fitness and its five components (cardiovascular endurance, muscular strength, muscular endurance, flexibility, body composition)
- Explain how each component contributes to overall health and wellness
- Describe how physical fitness impacts daily activities and quality of life
- Introduce the concept of fitness as a lifelong journey
- Connect physical fitness to both physical and mental wellbeing","?","","general","medium",""
"1","1","2","Components of Fitness","Content","Students need to understand the different components of fitness to develop balanced workout routines. This step breaks down complex physiological concepts into accessible information that middle school students can apply to their own fitness activities.","- Cardiovascular endurance: ability of heart and lungs to deliver oxygen during activity
- Muscular strength: maximum force muscles can generate
- Muscular endurance: ability of muscles to work for extended periods
- Flexibility: range of motion around joints
- Body composition: ratio of fat to lean tissue in the body
- Examples of activities that develop each component","?","","general","medium",""
"1","2","1","Exercise Safety at Home","Content","Creating a safe exercise environment is essential for preventing injuries and ensuring effective workouts. This step provides practical guidance on setting up appropriate spaces for physical activity at home, which supports students in developing responsible fitness habits.","- Creating a safe workout space (clearing area, proper footwear, etc.)
- Basic warm-up and cool-down routines with step-by-step instructions
- Warning signs to stop exercising (dizziness, pain, trouble breathing)
- When and how to ask for help from an adult
- Proper clothing and hydration tips","?","","general","medium",""
"1","3","1","Setting SMART Fitness Goals","Content","Setting SMART fitness goals supports students in developing self-awareness, self-regulation, and goal-setting skills essential for lifelong physical activity. This step enables students to translate their fitness aspirations into actionable, measurable plans, fostering intrinsic motivation and a growth mindset towards personal wellness.","- What SMART means:
- Specific - exactly what you want to achieve
- Measurable - how you'll track progress
- Achievable - realistic for your current fitness level
- Relevant - matters to you personally
- Time-bound - has a deadline
- Examples of good fitness goals for middle schoolers
- Creating your own SMART goals worksheet","?","","general","medium",""
"1","4","1","Self-Assessment Techniques","Activity","Self-assessment techniques empower students to monitor their own fitness progress and take ownership of their physical development. These practical assessment methods provide baseline measurements that students can use to set realistic goals and track improvements over time.","- Simple fitness tests you can do at home:
- Modified push-up test (step-by-step instructions)
- Sit-and-reach test for flexibility
- One-minute sit-up test
- Wall-sit endurance test
- How to track your results using a fitness journal
- Understanding that everyone starts at different levels","?","","general","medium",""
"2","1","1","Locomotor Movements","Content","Mastering fundamental locomotor movements is essential for developing overall physical literacy and laying the foundation for more complex motor skills. Practicing these basic movement patterns in a safe and structured environment helps students build body awareness, coordination, and the confidence to engage in physical activity throughout their lives.","- Definition: Movements that take you from one place to another
- Basic locomotor skills:
- Walking (with proper posture and arm swing)
- Running (with heel-toe pattern and rhythmic breathing)
- Jumping (two-foot takeoff and landing with bent knees)
- Hopping (one-foot takeoff and landing)
- Skipping (step-hop pattern)
- Galloping (lead foot stays in front)
- Sliding (side-to-side movement)
- How to practice each movement safely in limited space","?","","general","medium",""
"2","2","1","Non-Locomotor Movements","Content","Non-locomotor movements develop body awareness, balance, and coordination while staying in one place. This step builds upon locomotor skills by introducing movements that focus on control and stability, which are essential for developing comprehensive physical literacy and movement confidence.","- Define non-locomotor movements as movements performed while staying in one place
- Introduce basic non-locomotor skills: bending, stretching, twisting, turning, pushing, pulling
- Demonstrate proper technique for each non-locomotor movement
- Explain how these movements contribute to overall body control and coordination
- Provide examples of how these movements are used in sports and daily activities","?","","general","medium",""
"2","3","1","Body Awareness and Spatial Concepts","Content","Body awareness and spatial concepts are fundamental to safe and effective movement. This step helps students understand how their bodies relate to the space around them, developing the spatial intelligence necessary for physical activities, sports, and navigating everyday environments.","- Understanding personal space vs. general space
- Directional movements (forward, backward, up, down, sideways)
- Levels of movement (high, medium, low)
- Body shapes (wide, narrow, curved, twisted)
- Relationship between body parts during movement","?","","general","medium",""
"2","4","1","Balance and Coordination","Activity","Balance and coordination are essential physical skills that support all types of movement and physical activity. This activity-based step allows students to practice and develop these fundamental skills through engaging exercises that can be performed in limited space with minimal equipment.","- What is balance? (ability to control body position)
- Static balance activities (holding positions without moving)
- Dynamic balance activities (maintaining balance while moving)
- Coordination games and challenges for different skill levels
- Improving balance through regular practice","?","","general","medium",""
"3","1","1","Heart Health Basics","Content","This step on heart health basics provides a foundational understanding of cardiovascular function and the benefits of regular physical activity. It supports learning outcomes related to developing health literacy and promoting lifelong fitness habits. By introducing key concepts in an age-appropriate manner, this lesson lays the groundwork for students to make informed choices about their personal wellness.","- How your heart works as a muscle (simple explanation)
- What happens to your heart during exercise
- Benefits of cardio exercise:
- Stronger heart muscle
- More energy for daily activities
- Better sleep
- Improved mood
- Healthier body weight
- How often kids your age should do cardio (recommendations from health experts)","?","","general","medium",""
