Module,Lesson,Step number,Step title,Step type,what_is_the_rationale_for_this_step?,Content Outline,question,answer,category,difficulty,What is the rationale for this step?
1,1,1,Understanding Physical Fitness,Content,What is physical fitness?,"- Define locomotor movements as movements that transport the body from one place to another
- Introduce the basic locomotor skills: walking, running, jumping, hopping, skipping, galloping, and sliding
- Describe the proper technique for each locomotor skill
- Provide guidance on practicing locomotor skills safely in limited spaces
- Emphasize the importance of developing proficiency in fundamental locomotor movements",?,,general,medium,Module: 2 Lesson: 1 Title: Locomotor Movements Type: Content
1,2,1,Exercise Safety at Home,Content,"Creating a safe workout space (clearing area, proper footwear, etc.","- Creating a safe workout space (clearing area, proper footwear, etc.)
- Basic warm-up and cool-down routines with step-by-step instructions
- Warning signs to stop exercising (dizziness, pain, trouble breathing)
- When and how to ask for help from an adult
- Proper clothing and hydration tips",?,,general,medium,
1,3,1,Setting SMART Fitness Goals,Content,"Setting SMART fitness goals supports students in developing self-awareness, self-regulation, and goal-setting skills essential for lifelong physical activity. This step enables students to translate their fitness aspirations into actionable, measurable plans, fostering intrinsic motivation and a growth mindset towards personal wellness.","- What SMART means:
- Specific - exactly what you want to achieve
- Measurable - how you'll track progress
- Achievable - realistic for your current fitness level
- Relevant - matters to you personally
- Time-bound - has a deadline
- Examples of good fitness goals for middle schoolers
- Creating your own SMART goals worksheet",?,,general,medium,
1,4,1,Self-Assessment Techniques,Activity,"Simple fitness tests you can do at home:

    - Modified push-up test (step-by-step instructions)
    - Sit-and-reach test for flexibility
    - One-minute sit-up test
    - Wall-sit endurance test
  - How to track your results using a fitness journal
  - Understanding that everyone starts at different levels

**Activities**

- **Fitness Component Scavenger Hunt**: Find examples of each fitness component in your daily life
- **Safe Space Setup**: Take photos of your exercise space before and after making it safe

**Baseline Fitness Check**: Complete and record results from simple fitness tests

**Visual Supports to Include**

- Illustrated diagrams of the five fitness components
- Photos showing proper vs.","- Simple fitness tests you can do at home:
- Modified push-up test (step-by-step instructions)
- Sit-and-reach test for flexibility
- One-minute sit-up test
- Wall-sit endurance test
- How to track your results using a fitness journal
- Understanding that everyone starts at different levels",?,,general,medium,
2,1,1,Locomotor Movements,Content,"Mastering fundamental locomotor movements is essential for developing overall physical literacy and laying the foundation for more complex motor skills. Practicing these basic movement patterns in a safe and structured environment helps students build body awareness, coordination, and the confidence to engage in physical activity throughout their lives.","- Definition: Movements that take you from one place to another
- Basic locomotor skills:
- Walking (with proper posture and arm swing)
- Running (with heel-toe pattern and rhythmic breathing)
- Jumping (two-foot takeoff and landing with bent knees)
- Hopping (one-foot takeoff and landing)
- Skipping (step-hop pattern)
- Galloping (lead foot stays in front)
- Sliding (side-to-side movement)
- How to practice each movement safely in limited space",?,,general,medium,
2,2,1,Non-Locomotor Movements,Content,"The study of non-locomotor movements supports the development of body awareness, spatial orientation, and motor control skills. These fundamental movement patterns are essential building blocks for more complex physical activities and can be applied to a wide range of everyday tasks, promoting overall physical literacy and functional movement competence.","- Teach step-by-step instructions for finding your pulse
- Introduce the formula for calculating your target heart rate zone
- Explain the Rating of Perceived Exertion (RPE) scale and its levels
- Identify signs that indicate you're working too hard during exercise",?,,general,medium,"Module: 3 Lesson: 2 Title: Measuring Exercise Intensity Type: Content Strengthened Rationale: This step equips students with the skills to monitor and regulate their exercise intensity, a crucial aspect of developing physical literacy and maintaining long-term fitness. By learning how to find their pulse, calculate their target heart rate zone, and use the Rating of Perceived Exertion (RPE) scale, students will gain the necessary tools to engage in safe and effective physical activity. This knowledge will empower students to make informed choices about their exercise intensity, supporting the module's objectives of promoting lifelong physical activity and healthy habits."
2,3,1,Body Awareness and Spatial Concepts,Content,Understanding personal space vs.,"- Understanding personal space vs. general space
- Directional movements (forward, backward, up, down, sideways)
- Levels of movement (high, medium, low)
- Body shapes (wide, narrow, curved, twisted)
- Relationship between body parts during movement",?,,general,medium,
2,4,1,Balance and Coordination,Activity,What is balance?,"- What is balance? (ability to control body position)
- Static balance activities (holding positions without moving)
- Dynamic balance activities (maintaining balance while moving)
- Coordination games and challenges for different skill levels
- Improving balance through regular practice",?,,general,medium,
3,1,1,Heart Health Basics,Content,"This step on heart health basics provides a foundational understanding of cardiovascular function and the benefits of regular physical activity. It supports learning outcomes related to developing health literacy and promoting lifelong fitness habits. By introducing key concepts in an age-appropriate manner, this lesson lays the groundwork for students to make informed choices about their personal wellness.","- How your heart works as a muscle (simple explanation)
- What happens to your heart during exercise
- Benefits of cardio exercise:
- Stronger heart muscle
- More energy for daily activities
- Better sleep
- Improved mood
- Healthier body weight
- How often kids your age should do cardio (recommendations from health experts)",?,,general,medium,
3,2,1,Measuring Exercise Intensity,Content,"Measuring exercise intensity is a critical step in this lesson, as it supports learners in understanding how to monitor their cardiovascular effort and ensure they are working within a safe and effective training zone. This knowledge empowers learners to take an active role in their fitness development and make informed decisions about their exercise regimen to achieve their health and performance goals.","- Finding your pulse (step-by-step instructions with images)
- Calculating your target heart rate zone (simple formula)
- Rating of Perceived Exertion (RPE) scale:
- Level 1: Very easy - normal breathing, like slow walking
- Level 2: Easy - slightly faster breathing, can talk easily
- Level 3: Moderate - breathing harder, can still talk in sentences
- Level 4: Challenging - breathing much harder, can speak in short phrases
- Level 5: Very hard - breathing very hard, can only say a few words at a time
- Signs that you're working too hard",?,,general,medium,
