Module,Lesson,Step number,Step title,Step type,What is the rationale for this step?,Content Outline
1,1,1,Learning Content,Content,This content provides essential information for the learning journey.,"- This introductory module helps students understand what makes a machine a ""robot"" through clear examples, simple definitions, and interactive activities that connect to their everyday experiences."
1,3,1,"Simple definition: A robot is a machine that can sense, think, and act on its surroundings",Quiz,"Understanding Simple definition: A robot is a machine that can sense, think, and act on its surroundings is important for mastering this subject matter.","- Introduction to the input-processing-output model with simple visual representations
- Robot vs. non-robot examples with clear comparisons and reasoning
- The three main parts every robot needs: sensors (input), ""brain"" (processing), and moving parts (output)
- ""Stop and Think"": What machines in your home might be robots? Why or why not?"
1,4,1,Simple timeline of robotics from ancient toys to modern helpers,Quiz,Understanding Simple timeline of robotics from ancient toys to modern helpers is important for mastering this subject matter.,"- Focus on 5-6 major milestones with kid-friendly examples
- Connection between science fiction robots and real robots
- Diverse cultural contributions to robotics development
- ""Stop and Think"": How have robots changed over time? What caused these changes?"
1,5,1,"Brief examples of robots students might see at home (vacuum robots, smart speakers)",Activity,"Understanding Brief examples of robots students might see at home (vacuum robots, smart speakers) is important for mastering this subject matter.","- Brief examples of robots in school and community (delivery robots, educational robots)
- Brief examples of robots in movies and books familiar to middle schoolers
- Interactive sorting activity: Robot or Not a Robot? (applying the definition)
- Preview of more detailed robot applications to be explored in Module 8"
1,6,1,Introduction to basic robot parts using simple terms,Content,Understanding Introduction to basic robot parts using simple terms is important for mastering this subject matter.,"- Organization of parts using the input-processing-output framework
- How robot parts relate to human body parts - sensors work somewhat similarly to eyes and ears, and the processing unit handles information like our brain
- Preview of what we'll learn more about in upcoming modules
- Visual robot part matching game"
1,7,1,Labeled photographs comparing robots vs. regular machines,Activity,Understanding Labeled photographs comparing robots vs. regular machines is important for mastering this subject matter.,- Key content in this section
1,7,2,Visual course map showing all modules and how they connect,Content,Understanding Visual course map showing all modules and how they connect is important for mastering this subject matter.,- Key content in this section
1,7,3,Input-processing-output icons that will appear throughout the course,Content,Understanding Input-processing-output icons that will appear throughout the course is important for mastering this subject matter.,- Key content in this section
1,7,4,Colorful timeline with simple illustrations of robot development,Content,Understanding Colorful timeline with simple illustrations of robot development is important for mastering this subject matter.,- Key content in this section
1,7,5,"""Robot Spotting"" guide with photos of everyday robots",Content,"Understanding ""Robot Spotting"" guide with photos of everyday robots is important for mastering this subject matter.",- Key content in this section
