Module,Lesson,Step,Type,Rationale,Content,ContentOutline
**Module 1: Introduction to Excel High School**,"# **Module 1: Introduction to Excel High School**
...",Topics Covered:,Content,"This student orientation step serves to welcome and acclimate new students to the school community, setting the stage for their academic and social engagement. By covering key information about the school, its policies, and the virtual student community, this step supports students' understanding of the school environment and their role within it, aligning with broader objectives of student onboarding, community building, and fostering a positive learning experience.","* Purpose of the Student Orientation   
  * Reservation of Rights  
  * Welcome to Excel High School/Excel Middle School/Northgate Academy  
  * A Message from the President  
  * About Excel High School/Excel Middle School/Northgate Academy  
  * Introduction to Our Virtual Student Community","- Orientation purpose: rights reservation, school welcome
- Message from president, school overview
- Introduction to virtual student community"
**Module 1: Introduction to Excel High School**,"# **Module 1: Introduction to Excel High School**
...",Learning Goals:,Content,"This step supports students in understanding the purpose and value of the student orientation, which is critical for establishing a strong foundation for their academic experience. By gaining insight into the school's mission, vision, and values, as well as learning how to engage with the virtual student community, students will be better equipped to align their own goals and behaviors with the school's educational objectives, fostering a sense of belonging and investment in their learning.","* Understand the purpose of the student orientation.  
  * Gain insight into Excel High School/Excel Middle School/Northgate Academy’s mission, vision, and values.  
  * Learn how to connect with and participate in the virtual student community. 

---

##","- Understand school's mission, vision, and values
- Learn to connect with virtual student community
- Gain insight into purpose of student orientation"
**Module 2: Key Institutional Information**,"# **Module 2: Key Institutional Information**

* *...",Topics Covered:,Content,"This step provides important background information on the legal governance, accreditation, and contact details of the school, which supports students' understanding of the institutional context and resources available to them. This foundational knowledge lays the groundwork for students to engage more deeply with the academic content and support services offered by the school.","* The History of Excel High School/Excel Middle School/Northgate Academy  
  * Legal Governance  
  * Accreditation  
  * How to Contact Excel High School/Excel Middle School/Northgate Academy","- Outlines legal governance and accreditation of schools
- Provides contact information for Excel High/Middle and Northgate
- Summarizes key historical details about the educational institutions
- Highlights administrative and operational aspects of the schools
- Offers overview of school's background and accessibility"
**Module 2: Key Institutional Information**,"# **Module 2: Key Institutional Information**

* *...",Learning Goals:,Content,"This step supports students in developing a deeper understanding of the school's history, credentials, and available support services. By providing this foundational knowledge, students can better navigate their educational journey and access the resources necessary for academic success, which aligns with the broader objectives of student engagement, retention, and holistic development.","* Learn about the school’s history and credentials.  
  * Understand how to access support and services.

---

##","- Explore school's history and accreditation details
- Identify available support services and how to access them
- Understand the institution's academic reputation and achievements"
**Module 3: Starting Your Academic Journey**,"# **Module 3: Starting Your Academic Journey**

* ...",Topics Covered:,Content,"This step provides students with a clear understanding of the academic expectations, enrollment options, and participation requirements for the course, which supports their ability to effectively plan and manage their learning experience. By establishing these foundational elements, the step lays the groundwork for students to successfully navigate the course and achieve the intended learning outcomes.","* Getting Started  
  * Academic Expectations  
  * Transfer Credits  
  * Homeschool Credits  
  * International Students  
  * Enrollment Status (Full-Time vs. Part-Time)  
  * Participation Time & Learning Requirements","- Understand academic expectations for program
- Transfer credits evaluated for program eligibility
- Homeschool credits considered for enrollment
- International students have specific requirements
- Determine full-time or part-time enrollment status"
**Module 3: Starting Your Academic Journey**,"# **Module 3: Starting Your Academic Journey**

* ...",Learning Goals:,Content,"This step supports students in understanding the key administrative and logistical requirements for enrolling and participating in the course, which is essential for ensuring they can successfully meet the learning objectives and engage with the course content. Clarifying these onboarding details upfront helps set students up for a positive and productive learning experience aligned with the broader educational goals of the module.","* Understand onboarding steps for new students.  
  * Clarify enrollment options, credit policies, and participation requirements.

---

##","- Clarify enrollment options, credit policies, and participation requirements
- Understand onboarding steps for new students
- Familiarize with program structure and expectations"
**Module 4: Learning Environment and Time Management**,# **Module 4: Learning Environment and Time Manage...,Topics Covered:,Content,"This step supports students' understanding of course recovery policies, communication protocols, and academic calendars - key information needed to successfully navigate their educational journey. By providing this context, the lesson empowers students to take ownership of their learning and access available resources, aligning with broader objectives of fostering self-directed, engaged learners.","* Single Course Recovery  
  * Course Extension Policy  
  * Communication & Login  
  * School Academic Calendar & Observed Holidays","- Course extension policy details available
- Communicate and log in to access content
- Observe school's academic calendar and holidays"
**Module 4: Learning Environment and Time Management**,# **Module 4: Learning Environment and Time Manage...,Learning Goals:,Content,"This step supports students in developing time management and organizational skills by familiarizing them with the school calendar and holiday schedule. Understanding course timelines and expectations aligns with broader educational objectives of fostering self-regulation and metacognitive awareness, which are essential for academic success.","* Familiarize with the school calendar and holiday schedule.  
  * Learn how to manage course timelines and expectations.

---

##","- Understand school calendar and holiday schedule
- Manage course timelines and expectations effectively
- Develop strategies to meet academic deadlines
- Familiarize with school policies and procedures
- Prioritize tasks and plan accordingly"
**Module 5: Online Courses and Study Strategies**,# **Module 5: Online Courses and Study Strategies*...,Topics Covered:,Content,"This step provides students with a comprehensive overview of the academic requirements and expectations for high school success, including the California A-G curriculum, study strategies, grading policies, and NCAA eligibility. By equipping students with this foundational knowledge, the step supports their ability to plan their academic journey, set achievable goals, and develop the necessary skills to thrive in their educational pursuits, ultimately contributing to their overall academic and personal growth.","* Classes & Assignments  
  * California A-G  
  * Study Tips  
  * Academic Expectations  
  * Diploma Completion Time  
  * Diploma Requirements  
  * Grading and Reporting  
  * NCAA","- Outlines California A-G course requirements for high school
- Provides study tips for academic success
- Explains diploma completion time and requirements
- Describes grading and reporting policies
- Covers NCAA eligibility guidelines for student-athletes"
**Module 5: Online Courses and Study Strategies**,# **Module 5: Online Courses and Study Strategies*...,Learning Goals:,Content,This step supports the development of self-directed learning skills by familiarizing students with assignment submission protocols and graduation requirements. Establishing clear expectations and timelines helps students take ownership of their academic progress and fosters the organizational habits necessary for success in higher education and beyond.,"* Develop strong study habits.  
  * Understand assignment submission and diploma timeline requirements.

---

##","- Develop effective study habits for academic success
- Understand assignment deadlines and diploma timeline requirements
- Prioritize time management and organization for coursework"
