Module,Lesson,Step number,Step title,Step type,Template Type,What is the rationale for this step,Content Outline
2,1,1,The Founding Vision,Article,Article,Establishes institutional trust by showing the school’s roots and mission-driven focus.,"Founding year (2005) and original vision of online accessibility.
Parent company (Excel Education Systems).
Mission to serve both traditional and non-traditional learners with flexible, high-quality education."
2,1,2,Growth and Milestones,Article,Article,Demonstrates the school’s evolution and reach by outlining major achievements.,"Expansion into middle-school division and adult diploma pathway.
Thousands of graduates."
2,1,3,Growth and Milestones,Article,Article,Demonstrates the school’s evolution and reach by outlining major achievements.,Timeline graphic summarizing key milestones (image asset needed).
2,1,4,Legal Governance Explained,Article,Article,"Clarifies the legal structure and leadership, helping learners understand accountability and policy decisions.","Non-public school under Minnesota Statute 302A.
Explanation of “legal governance” and its impact on students (e.g., policy updates, data privacy)."
2,1,5,Legal Governance Explained,Article,Article,"Clarifies the legal structure and leadership, helping learners understand accountability and policy decisions.",Sidebar: Grandfather-clause policy snapshot.
2,1,6,Who Leads Excel High School,Article,Article,Personalizes the school’s leadership to increase student connection and transparency.,"Names and roles of board and executive leaders.
Brief context for their roles in day-to-day decision-making and long-term strategy."
2,1,7,Accreditation Overview,Article,Article,Establishes confidence in the school’s legitimacy by defining who accredits Excel High School.,"Regional accreditation bodies: Cognia (NCA CASI, SACS CASI, NWAC).
Systems accreditation by Middle States Association.
Infographic of accreditation logos (asset needed)."
2,2,1,Why Accreditation Matters,Article,Article,"Explains the real-world impact of accreditation on transfer, graduation, and college acceptance.","Clear definition of regional vs. national accreditation in plain language.
What regional accreditation means for credit recognition and college transfer.
Call-out: “Transfer & College Acceptance Guarantee.”"
2,2,2,Why Accreditation Matters,Image,Image,"Explains the real-world impact of accreditation on transfer, graduation, and college acceptance.",Call-out: “Transfer & College Acceptance Guarantee
2,2,3,Meet Your Support Team,Article,Article,Introduces students to the help resources available and fosters early help-seeking behaviors.,"Contact methods: Help Desk ticket, phone, email, staff directory link.
When and how to use each support option."
2,2,4,Submitting a Help Desk Ticket,Video,Video,Provides a quick demonstration to reduce barriers to tech-based help-seeking.,"Walkthrough video (≤60 seconds) showing how to submit a Help Desk ticket.
Emphasis on how quickly support responds and how to check ticket status."
2,2,5,Try It: Find the Right Contact,Activity,Activity,Gives students hands-on practice matching questions with the correct support channel.,"Interactive checklist or drag-and-drop: “Match the question to the right contact method.”
Examples like password reset vs. transcript request vs. teacher feedback."
2,2,6,Reflection: Your Go-To Support Option,Activity,Activity,Reinforces learning by encouraging students to consider which support method they’d use first.,"Prompt: “Which support channel will you use first if you need help, and why?”"
3,1,1,Getting Started Checklist,Article with downloadable resource,Article with downloadable resource,"Students need a concise, sequential list of actions to begin smoothly (e.g., portal login, technology check, handbook download). This sets momentum for independent, self-paced learning.","Bullet-list onboarding tasks with expected completion time.
Call-out: “Save this checklist—refer back any time.”"
3,1,2,Getting Tech Support,Article,Article,Students must know where to go for help with common technical issues. This encourages self-advocacy and smoother onboarding.,"Link to Help Desk video from Module 2 for ticket support.
Reminder that support is available during school hours via Help Desk.
Tip: Add Help Desk to your bookmarks for quick access."
